YEAR,STATION,Entries 0600-1000,Exits 0600-1000,Entries 1000-1500,Exits 1000-1500,Entries 1500-1900,Exits 1500-1900,Entries 1900 -0600,Exits 1900 -0600,Entries 0000-2359,Exits 0000-2359,LAT,LONG
2016,Adamstown,-,-,-,-,-,-,-,-,60,60,-32.933587,151.720350
2017,Adamstown,-,-,-,-,-,-,-,-,80,60,-32.933587,151.720350
2018,Adamstown,-,-,-,-,-,-,-,-,110,100,-32.933587,151.720350
2019,Adamstown,-,-,-,-,-,-,-,-,160,110,-32.933587,151.720350
Feb 2020,Adamstown,-,-,-,-,-,-,-,-,130,140,-32.933587,151.720350
Sep 2020,Adamstown,-,-,-,-,-,-,-,-,50,50,-32.933587,151.720350
2016,Albion Park,-,-,-,-,-,-,-,-,250,210,-34.563160,150.798893
2017,Albion Park,-,-,-,-,-,-,-,-,310,250,-34.563160,150.798893
2018,Albion Park,-,-,-,-,-,-,-,-,300,260,-34.563160,150.798893
2019,Albion Park,-,-,-,-,-,-,-,-,330,270,-34.563160,150.798893
Feb 2020,Albion Park,-,-,-,-,-,-,-,-,280,250,-34.563160,150.798893
May 2020,Albion Park,-,-,-,-,-,-,-,-,80,60,-34.563160,150.798893
Sep 2020,Albion Park,-,-,-,-,-,-,-,-,160,130,-34.563160,150.798893
2016,Allawah,1650,140,590,360,340,1290,240,780,2820,2570,-33.969752,151.114576
2017,Allawah,1820,160,640,370,360,1370,260,870,3080,2770,-33.969752,151.114576
2018,Allawah,1930,160,670,380,430,1510,310,910,3340,2960,-33.969752,151.114576
2019,Allawah,1930,170,690,410,500,1480,320,950,3440,3010,-33.969752,151.114576
Feb 2020,Allawah,1860,190,590,380,470,1420,370,930,3290,2920,-33.969752,151.114576
May 2020,Allawah,410,60,280,200,160,460,210,240,1060,960,-33.969752,151.114576
Sep 2020,Allawah,800,140,460,290,330,780,280,450,1870,1660,-33.969752,151.114576
2016,Arncliffe,1390,180,450,290,360,1020,170,610,2370,2100,-33.936845,151.147140
2017,Arncliffe,1530,200,450,330,440,1190,180,670,2600,2390,-33.936845,151.147140
2018,Arncliffe,1720,160,560,350,420,1390,220,790,2920,2690,-33.936845,151.147140
2019,Arncliffe,1750,200,530,350,520,1390,240,780,3040,2720,-33.936845,151.147140
Feb 2020,Arncliffe,1650,240,450,320,480,1190,220,690,2800,2440,-33.936845,151.147140
May 2020,Arncliffe,360,100,210,160,170,430,130,120,870,810,-33.936845,151.147140
Sep 2020,Arncliffe,730,140,310,220,240,650,140,280,1420,1290,-33.936845,151.147140
2016,Artarmon,3520,850,1160,940,1320,2850,370,1350,6370,5990,-33.808511,151.184630
2017,Artarmon,3770,930,1040,920,1410,2950,370,1370,6590,6170,-33.808511,151.184630
2018,Artarmon,3600,910,1060,910,1330,2880,390,1250,6380,5950,-33.808511,151.184630
2019,Artarmon,3420,840,980,900,1330,2780,410,1210,6140,5730,-33.808511,151.184630
Feb 2020,Artarmon,3240,880,950,870,1350,2720,380,1150,5920,5620,-33.808511,151.184630
May 2020,Artarmon,430,230,340,330,310,480,140,150,1220,1190,-33.808511,151.184630
Sep 2020,Artarmon,1240,480,660,620,750,1200,220,450,2870,2750,-33.808511,151.184630
2016,Ashfield,5870,2360,3010,2100,3190,5280,1140,3130,13210,12870,-33.887626,151.125774
2017,Ashfield,6360,2430,3200,2150,3190,5830,1320,3430,14070,13840,-33.887626,151.125774
2018,Ashfield,6160,2340,2970,2030,3100,5600,1290,3340,13520,13310,-33.887626,151.125774
2019,Ashfield,6170,2270,3150,2260,3230,5780,1470,3420,14020,13730,-33.887626,151.125774
Feb 2020,Ashfield,5950,2070,2600,2060,3000,5460,1450,3190,13000,12780,-33.887626,151.125774
May 2020,Ashfield,1290,600,1080,960,910,1600,620,710,3900,3870,-33.887626,151.125774
Sep 2020,Ashfield,2790,1150,1840,1480,1710,2920,940,1600,7280,7150,-33.887626,151.125774
2016,Asquith,850,300,240,100,290,580,40,220,1420,1200,-33.688590,151.108132
2017,Asquith,1010,320,270,170,320,660,50,240,1650,1390,-33.688590,151.108132
2018,Asquith,1240,290,300,170,320,840,60,310,1920,1610,-33.688590,151.108132
2019,Asquith,1250,250,300,160,270,920,90,320,1910,1650,-33.688590,151.108132
Feb 2020,Asquith,1350,250,320,160,270,1010,110,340,2050,1760,-33.688590,151.108132
May 2020,Asquith,140,60,80,60,70,140,40,50,330,310,-33.688590,151.108132
Sep 2020,Asquith,460,190,190,100,210,390,60,120,920,800,-33.688590,151.108132
2016,Auburn,4220,1980,2990,2390,2910,4490,1490,2560,11610,11420,-33.849471,151.032977
2017,Auburn,4550,2190,3340,2500,3240,4910,1630,2830,12760,12430,-33.849471,151.032977
2018,Auburn,5170,2190,3520,2780,3500,5700,2130,3360,14320,14030,-33.849471,151.032977
2019,Auburn,5620,2300,3910,3070,3910,6200,2490,3920,15930,15490,-33.849471,151.032977
Feb 2020,Auburn,5260,2350,3460,2850,3910,5580,2690,3950,15320,14730,-33.849471,151.032977
May 2020,Auburn,1900,1030,1760,1500,1890,2640,1400,1570,6950,6740,-33.849471,151.032977
Sep 2020,Auburn,3330,1700,2580,2100,2890,3980,2030,2600,10830,10380,-33.849471,151.032977
2016,Austinmer,-,-,-,-,-,-,-,-,160,160,-34.306511,150.929129
2017,Austinmer,-,-,-,-,-,-,-,-,150,130,-34.306511,150.929129
2018,Austinmer,-,-,-,-,-,-,-,-,170,140,-34.306511,150.929129
2019,Austinmer,-,-,-,-,-,-,-,-,180,130,-34.306511,150.929129
Feb 2020,Austinmer,-,-,-,-,-,-,-,-,170,140,-34.306511,150.929129
Sep 2020,Austinmer,-,-,-,-,-,-,-,-,70,60,-34.306511,150.929129
2016,Banksia,1170,120,230,170,240,930,130,420,1770,1640,-33.944858,151.140599
2017,Banksia,1270,110,270,180,230,1030,100,420,1870,1740,-33.944858,151.140599
2018,Banksia,1260,130,280,190,270,1070,150,410,1960,1800,-33.944858,151.140599
2019,Banksia,1260,130,280,210,280,1060,130,390,1950,1790,-33.944858,151.140599
Feb 2020,Banksia,1230,130,250,190,270,970,130,410,1880,1700,-33.944858,151.140599
May 2020,Banksia,210,70,120,90,110,250,50,70,490,480,-33.944858,151.140599
Sep 2020,Banksia,430,70,160,130,150,440,90,150,830,790,-33.944858,151.140599
2016,Bankstown,3380,1900,2250,2150,2220,3680,860,1330,8710,9060,-33.917842,151.034047
2017,Bankstown,3630,2080,2330,2250,2480,3820,840,1390,9280,9540,-33.917842,151.034047
2018,Bankstown,3880,2100,2450,2370,2520,4230,980,1540,9830,10240,-33.917842,151.034047
2019,Bankstown,4070,2340,2740,2540,2690,4520,1110,1620,10610,11020,-33.917842,151.034047
Feb 2020,Bankstown,4010,2300,2460,2360,2620,4440,1200,1690,10290,10790,-33.917842,151.034047
May 2020,Bankstown,840,820,1030,1080,1000,1210,450,390,3320,3500,-33.917842,151.034047
Sep 2020,Bankstown,2070,1600,1660,1700,1870,2420,710,920,6310,6640,-33.917842,151.034047
2016,Bardwell Park,860,50,180,140,130,670,70,250,1240,1110,-33.931378,151.125379
2017,Bardwell Park,930,60,220,170,130,800,80,280,1360,1310,-33.931378,151.125379
